InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,transaction_number
536365,1,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2010 8:26,2.55,1,United Kingdom,1.0
536365,2,WHITE METAL LANTERN,6,12/1/2010 8:26,3.39,1,United Kingdom,1.0
536365,3,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 8:26,2.75,1,United Kingdom,1.0
536365,4,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 8:26,3.39,1,United Kingdom,1.0
536365,5,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 8:26,3.39,1,United Kingdom,1.0
536365,6,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 8:26,7.65,1,United Kingdom,1.0
536365,7,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 8:26,4.25,1,United Kingdom,1.0
536382,8,INFLATABLE POLITICAL GLOBE ,12,12/1/2010 9:45,0.85,2,United Kingdom,1.0
536382,9,VINTAGE SNAKES & LADDERS,8,12/1/2010 9:45,3.75,2,United Kingdom,1.0
536382,10,CHOCOLATE CALCULATOR,12,12/1/2010 9:45,1.65,2,United Kingdom,1.0
536382,11,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12/1/2010 9:45,1.95,2,United Kingdom,1.0
536382,12,RECYCLING BAG RETROSPOT ,10,12/1/2010 9:45,2.1,2,United Kingdom,1.0
536382,13,TOY TIDY PINK POLKADOT,50,12/1/2010 9:45,1.85,2,United Kingdom,1.0
536382,14,ANTIQUE GLASS DRESSING TABLE POT,8,12/1/2010 9:45,2.95,2,United Kingdom,1.0
536382,15,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 9:45,3.75,2,United Kingdom,1.0
536382,16,IVORY GIANT GARDEN THERMOMETER,12,12/1/2010 9:45,5.95,2,United Kingdom,1.0
536382,17,3 TIER CAKE TIN GREEN AND CREAM,2,12/1/2010 9:45,14.95,2,United Kingdom,1.0
536382,18,3 TIER CAKE TIN RED AND CREAM,2,12/1/2010 9:45,14.95,2,United Kingdom,1.0
536382,19,SET 3 WICKER OVAL BASKETS W LIDS,4,12/1/2010 9:45,16.95,2,United Kingdom,1.0
536385,19,SET 3 WICKER OVAL BASKETS W LIDS,1,12/1/2010 9:56,19.95,3,United Kingdom,1.0
536385,20,JAM MAKING SET PRINTED,12,12/1/2010 9:56,1.45,3,United Kingdom,1.0
536385,21,JAM MAKING SET WITH JARS,6,12/1/2010 9:56,4.25,3,United Kingdom,1.0
536385,22,JUMBO BAG DOLLY GIRL DESIGN,10,12/1/2010 9:56,1.95,3,United Kingdom,1.0
536385,23,TRADITIONAL CHRISTMAS RIBBONS,12,12/1/2010 9:56,1.25,3,United Kingdom,1.0
536385,24,ORGANISER WOOD ANTIQUE WHITE ,2,12/1/2010 9:56,8.5,3,United Kingdom,1.0
536385,25,LUNCH BAG DOLLY GIRL DESIGN,10,12/1/2010 9:56,1.65,3,United Kingdom,1.0
536386,26,WHITE WIRE EGG HOLDER,36,12/1/2010 9:57,4.95,4,United Kingdom,1.0
536386,27,JUMBO  BAG BAROQUE BLACK WHITE,100,12/1/2010 9:57,1.65,4,United Kingdom,1.0
536386,28,JUMBO BAG RED RETROSPOT,100,12/1/2010 9:57,1.65,4,United Kingdom,1.0
536387,29,CHILLI LIGHTS,192,12/1/2010 9:58,3.82,4,United Kingdom,2.0
536387,30,LIGHT GARLAND BUTTERFILES PINK,192,12/1/2010 9:58,3.37,4,United Kingdom,2.0
536387,31,WOODEN OWLS LIGHT GARLAND ,192,12/1/2010 9:58,3.37,4,United Kingdom,2.0
536387,32,FAIRY TALE COTTAGE NIGHTLIGHT,432,12/1/2010 9:58,1.45,4,United Kingdom,2.0
536387,33,RED TOADSTOOL LED NIGHT LIGHT,432,12/1/2010 9:58,1.25,4,United Kingdom,2.0
536389,34,CHRISTMAS LIGHTS 10 REINDEER,6,12/1/2010 10:03,8.5,5,Australia,1.0
536389,35,VINTAGE UNION JACK CUSHION COVER,8,12/1/2010 10:03,4.95,5,Australia,1.0
536389,36,VINTAGE HEADS AND TAILS CARD GAME ,12,12/1/2010 10:03,1.25,5,Australia,1.0
536389,37,SET OF 3 COLOURED  FLYING DUCKS,6,12/1/2010 10:03,5.45,5,Australia,1.0
536389,38,SET OF 3 GOLD FLYING DUCKS,4,12/1/2010 10:03,6.35,5,Australia,1.0
536389,39,RED RETROSPOT UMBRELLA,6,12/1/2010 10:03,5.95,5,Australia,1.0
536389,40,BLACK/BLUE POLKADOT UMBRELLA,3,12/1/2010 10:03,5.95,5,Australia,1.0
536389,41,RED DINER WALL CLOCK,2,12/1/2010 10:03,8.5,5,Australia,1.0
536389,15,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 10:03,3.75,5,Australia,1.0
536389,42,ALARM CLOCK BAKELIKE RED ,4,12/1/2010 10:03,3.75,5,Australia,1.0
536389,43,BLUE DINER WALL CLOCK,2,12/1/2010 10:03,8.5,5,Australia,1.0
536389,44,IVORY DINER WALL CLOCK,2,12/1/2010 10:03,8.5,5,Australia,1.0
536389,45,LARGE HEART MEASURING SPOONS,24,12/1/2010 10:03,1.65,5,Australia,1.0
536389,46,SMALL HEART MEASURING SPOONS,24,12/1/2010 10:03,0.85,5,Australia,1.0
536392,47,3 STRIPEY MICE FELTCRAFT,6,12/1/2010 10:29,1.95,6,United Kingdom,1.0
536392,48,SET OF 6 SOLDIER SKITTLES,4,12/1/2010 10:29,3.75,6,United Kingdom,1.0
536392,49,TRADITIONAL WOODEN SKIPPING ROPE,12,12/1/2010 10:29,1.25,6,United Kingdom,1.0
536392,50,WOODEN BOX OF DOMINOES,12,12/1/2010 10:29,1.25,6,United Kingdom,1.0
536392,51,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,12/1/2010 10:29,165.0,6,United Kingdom,1.0
536392,52,PARTY CONES CARNIVAL ASSORTED,12,12/1/2010 10:29,1.25,6,United Kingdom,1.0
536392,53,PARTY CONES CANDY ASSORTED,12,12/1/2010 10:29,1.25,6,United Kingdom,1.0
536392,54,PICNIC BASKET WICKER SMALL,4,12/1/2010 10:29,5.95,6,United Kingdom,1.0
536392,55,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/2010 10:29,1.69,6,United Kingdom,1.0
536392,56,STAR DECORATION PAINTED ZINC ,24,12/1/2010 10:29,0.65,6,United Kingdom,1.0
536394,57,"FANCY FONT BIRTHDAY CARD, ",24,12/1/2010 10:39,0.42,7,United Kingdom,1.0
536394,58,HAND WARMER UNION JACK,96,12/1/2010 10:39,1.85,7,United Kingdom,1.0
536394,59,HAND WARMER SCOTTY DOG DESIGN,96,12/1/2010 10:39,1.85,7,United Kingdom,1.0
536394,60,HAND WARMER OWL DESIGN,96,12/1/2010 10:39,1.85,7,United Kingdom,1.0
536394,61,HAND WARMER RED RETROSPOT,96,12/1/2010 10:39,1.85,7,United Kingdom,1.0
536394,62,RETROSPOT HEART HOT WATER BOTTLE,12,12/1/2010 10:39,4.95,7,United Kingdom,1.0
536394,63,DOG BOWL CHASING BALL DESIGN,12,12/1/2010 10:39,3.75,7,United Kingdom,1.0
536394,64,CLOTHES PEGS RETROSPOT PACK 24 ,48,12/1/2010 10:39,1.25,7,United Kingdom,1.0
536394,65,HAND OVER THE CHOCOLATE   SIGN ,12,12/1/2010 10:39,2.1,7,United Kingdom,1.0
536394,1,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2010 10:39,2.55,7,United Kingdom,1.0
536394,66,TRAVEL SEWING KIT,20,12/1/2010 10:39,1.65,7,United Kingdom,1.0
536395,67,BLACK HEART CARD HOLDER,8,12/1/2010 10:47,3.95,8,United Kingdom,1.0
536395,55,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/2010 10:47,1.69,8,United Kingdom,1.0
536395,68,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/2010 10:47,0.55,8,United Kingdom,1.0
536395,69,60 TEATIME FAIRY CAKE CASES,24,12/1/2010 10:47,0.55,8,United Kingdom,1.0
536395,70,PACK OF 72 RETROSPOT CAKE CASES,24,12/1/2010 10:47,0.55,8,United Kingdom,1.0
536395,71,CHICK GREY HOT WATER BOTTLE,8,12/1/2010 10:47,3.45,8,United Kingdom,1.0
536395,72,SMALL GLASS HEART TRINKET POT,8,12/1/2010 10:47,2.1,8,United Kingdom,1.0
536395,73,ALARM CLOCK BAKELIKE IVORY,4,12/1/2010 10:47,3.75,8,United Kingdom,1.0
536395,42,ALARM CLOCK BAKELIKE RED ,8,12/1/2010 10:47,3.75,8,United Kingdom,1.0
536395,74,ALARM CLOCK BAKELIKE ORANGE,8,12/1/2010 10:47,3.75,8,United Kingdom,1.0
536395,15,ALARM CLOCK BAKELIKE GREEN,8,12/1/2010 10:47,3.75,8,United Kingdom,1.0
536395,75,HOT WATER BOTTLE TEA AND SYMPATHY,8,12/1/2010 10:47,3.95,8,United Kingdom,1.0
536395,76,HAND WARMER BIRD DESIGN,48,12/1/2010 10:47,2.1,8,United Kingdom,1.0
536395,59,HAND WARMER SCOTTY DOG DESIGN,48,12/1/2010 10:47,2.1,8,United Kingdom,1.0
536402,77,PAPER CHAIN KIT 50'S CHRISTMAS ,40,12/1/2010 11:22,2.55,9,United Kingdom,1.0
536402,78,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,12/1/2010 11:22,2.55,9,United Kingdom,1.0
536402,79,HOT WATER BOTTLE BABUSHKA ,36,12/1/2010 11:22,4.25,9,United Kingdom,1.0
536437,80,RED RETROSPOT OVEN GLOVE ,200,12/1/2010 12:12,1.06,10,United Kingdom,1.0
536437,81,CREAM HEART CARD HOLDER,72,12/1/2010 12:12,3.39,10,United Kingdom,1.0
536437,82,NAMASTE SWAGAT INCENSE,600,12/1/2010 12:12,0.24,10,United Kingdom,1.0
536437,83,CERAMIC STRAWBERRY DESIGN MUG,48,12/1/2010 12:12,1.25,10,United Kingdom,1.0
536437,67,BLACK HEART CARD HOLDER,36,12/1/2010 12:12,3.39,10,United Kingdom,1.0
536437,84,CLASSICAL ROSE SMALL VASE,48,12/1/2010 12:12,1.25,10,United Kingdom,1.0
536460,85,FRENCH WC SIGN BLUE METAL,12,12/1/2010 12:22,1.25,11,United Kingdom,1.0
536460,86,KINGS CHOICE GIANT TUBE MATCHES,12,12/1/2010 12:22,2.55,11,United Kingdom,1.0
536460,87,72 SWEETHEART FAIRY CAKE CASES,24,12/1/2010 12:22,0.55,11,United Kingdom,1.0
536460,55,ASSORTED COLOUR BIRD ORNAMENT,24,12/1/2010 12:22,1.69,11,United Kingdom,1.0
536460,88,FAIRY SOAP SOAP HOLDER,12,12/1/2010 12:22,1.69,11,United Kingdom,1.0
536460,89,GREEN GIANT GARDEN THERMOMETER,2,12/1/2010 12:22,5.95,11,United Kingdom,1.0
536460,16,IVORY GIANT GARDEN THERMOMETER,4,12/1/2010 12:22,5.95,11,United Kingdom,1.0
536460,90,BLUE GIANT GARDEN THERMOMETER,2,12/1/2010 12:22,5.95,11,United Kingdom,1.0
536460,68,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/2010 12:22,0.55,11,United Kingdom,1.0
536460,62,RETROSPOT HEART HOT WATER BOTTLE,6,12/1/2010 12:22,4.95,11,United Kingdom,1.0
536460,71,CHICK GREY HOT WATER BOTTLE,8,12/1/2010 12:22,3.45,11,United Kingdom,1.0
536460,91,VICTORIAN SEWING BOX SMALL ,2,12/1/2010 12:22,5.95,11,United Kingdom,1.0
536460,92,VICTORIAN SEWING BOX MEDIUM,2,12/1/2010 12:22,7.95,11,United Kingdom,1.0
536460,93,SET/10 RED POLKADOT PARTY CANDLES,24,12/1/2010 12:22,1.25,11,United Kingdom,1.0
536477,72,SMALL GLASS HEART TRINKET POT,48,12/1/2010 12:27,1.85,12,United Kingdom,1.0
536477,5,RED WOOLLY HOTTIE WHITE HEART.,24,12/1/2010 12:27,3.39,12,United Kingdom,1.0
536477,94,BLACK RECORD COVER FRAME,480,12/1/2010 12:27,3.39,12,United Kingdom,1.0
536477,95,"RECORD FRAME 7"" SINGLE SIZE ",48,12/1/2010 12:27,2.1,12,United Kingdom,1.0
536477,96,36 PENCILS TUBE RED RETROSPOT,16,12/1/2010 12:27,1.25,12,United Kingdom,1.0
536477,97,36 PENCILS TUBE WOODLAND,16,12/1/2010 12:27,1.25,12,United Kingdom,1.0
536477,48,SET OF 6 SOLDIER SKITTLES,4,12/1/2010 12:27,3.75,12,United Kingdom,1.0
536477,98,ROCKING HORSE RED CHRISTMAS ,96,12/1/2010 12:27,0.72,12,United Kingdom,1.0
536477,99,CHRISTMAS GINGHAM HEART,144,12/1/2010 12:27,0.72,12,United Kingdom,1.0
